Node-Id;Titel;Url;Bezugsquelle;Spider;Liste
7346f4c2-a316-4f6a-86f4-c2a3160f6a23;Statista für Schulen - Wir machen Schüler fit für eine moderne Welt.;https://statista-fuer-schulen.de/;;;whitelist
9d2dee15-5c86-4bb7-adee-155c860bb754;Studyflix;https://www.youtube.com/@studyflix;;;whitelist
1182d09c-7171-402a-81e9-ed2b17f578c6;TEMI: Sammlung von Myterys;https://aeccc.univie.ac.at/lehrerinnen/unterrichtsmaterialien/temi/;;;whitelist
a0eb73f6-921a-4255-8f46-b806d5d97443;TIB AV-Portal Chemie;https://av.tib.eu/search?f=subject%3Bhttp://av.tib.eu/resource/subject/Chemistry;;;whitelist
059aa9d0-3b1c-4eff-812b-20f61e6b2b6b;TeachSam OER - Bildungsserver;http://teachsam.de;wirlernenonline_spider;wirlernenonline_spider;whitelist
e60f6480-e3b4-444e-bfa9-566bbbb161e4;Teaching Tools für Lernziele und Lernkontrolle;https://teachingtools.uzh.ch/index.php?id=tools;;;whitelist
6f8bc14d-4da7-4442-a388-9eb65673453b;Teaching the Sustainable Development Goals | Portal Globales Lernen;https://www.globaleslernen.de/de/suche?combine=Sustainable%20Development%20Goals;;;whitelist
51f90008-3130-44c7-9473-d2595c157fce;The Royal Society of Chemistry;https://www.rsc.org/;;;whitelist
d382bf28-39d3-4f6b-9d1c-b6e19fa0c2ee;Theater in der Schule;https://padlet.com/nickdoormann/theaterinderschule;;;whitelist
c45d738c-ac1c-435f-807d-68f79076b7a2;Theater in der Schule;https://padlet.com/nickdoormann/theaterinderschule;;;whitelist
2b994a61-0f47-4912-84c7-d5be835dbecf;Toolbox Lehrerbildung - Lehren und Lernen im digitalen Zeitalter | TUM;https://toolbox.edu.tum.de;wirlernenonline_spider;wirlernenonline_spider;whitelist
3a707aba-6a2c-4e31-abe0-a4bd6bbfc1df;Tools des digital.learning.lab;https://digitallearninglab.de/tools?page=1&sorting=-latest;;;whitelist
686f27d1-7835-4ed9-adda-e0c5ee347296;Tools für den Sprachunterricht; https://kits.blog/tools/;;;whitelist
e6329b49-a3c5-4d45-84f4-c4246d61343f;Tutory;https://www.tutory.de/;tutory_spider;tutory_spider;whitelist
ffc65f2f-fcf1-4054-bcdd-e7eb4e471bed;Umwelt im Unterricht;https://www.umwelt-im-unterricht.de/;Umwelt im Unterricht;;whitelist
2651cf30-1338-4519-92a0-fca891a1cca3;Umwelt im Unterricht;https://www.umwelt-im-unterricht.de/;umwelt_im_unterricht_spider;umwelt_im_unterricht_spider;whitelist
d1f7c9d2-8084-49bd-9022-de861f5abb1b;Unterrichtsmaterialien - fachverband-ethik.de;https://www.fachverband-ethik.de/aktuelles/landesverbaende/baden-wuerttemberg/unterrichtsmaterialien;;;whitelist
9a48fba5-6e52-48eb-aec5-6ef3481eccc4;VCI Online - Verband der Chemischen Industrie e.V. (VCI);https://www.vci.de/startseite.jsp;;;whitelist
4535ff98-a589-4a5f-8e81-2929fc0463d2;Videos zu klassischen Schulversuchen - BERGISCHE UNIVERSITÄT WUPPERTAL;https://chemiedidaktik.uni-wuppertal.de/index.php?id=5126&L=0;Bergische Universität Wuppertal;;whitelist
65af7d96-9630-49bb-ad54-5630b77c7f45;Vision Kino – Netzwerk für Film- und Medienkompetenz;https://www.visionkino.de/;;;whitelist
9f83c4f3-af75-4127-8d07-e556c01a84c9;WDC: Wale und Delfine;https://de.whales.org/wale-delfine/bildungsarbeit/;wirlernenonline_spider;wirlernenonline_spider;whitelist
e6ede660-7234-4080-a7e2-9ad72c8c5d5d;Welt der Physik;https://www.weltderphysik.de/;wirlernenonline_spider;wirlernenonline_spider;whitelist
01c2a8c6-267c-4a4d-8a61-1a10c3949e80;Werkzeugkoffer Making in der Schule;https://www.iqesonline.net/bildung-digital/unterrichtspraxis-erfahrungsberichte-lernumgebungen/werkzeugkoffer-making-in-der-schule/;;;whitelist
fe1e0015-f031-4c36-9bb5-51ad0ee5fd1c;Wirlernenonline;https://www.wirlernenonline.de;wirlernenonline_spider;wirlernenonline_spider;whitelist
822d9986-232c-4050-810f-54d8878db636;Wort.Schule;https://wort.schule;;;whitelist
4bc267f1-9751-4b88-9585-7e5724584568;ZDF (RSS);https://www.zdf.de/;zdf_rss_spider;zdf_rss_spider;whitelist
7869e4d9-dbc3-4fab-8b87-89edf711c3ef;ZUM Deutsch Lernen;https://deutsch-lernen.zum.de/wiki/Hauptseite;zum_deutschlernen_spider;zum_deutschlernen_spider;whitelist
c68eaa36-12be-4889-a054-435633a14e8d;ZUM Deutsch Lernen - Plattform für DaF und DaZ | ZUM.de;https://deutsch-lernen.zum.de/wiki/Hauptseite;wirlernenonline_spider;wirlernenonline_spider;whitelist
da96fcac-c6f4-4cc9-83ee-c24d47f2dccf;ZUM Klexikon;https://klexikon.zum.de/wiki/Kategorie:Wissensgebiete;zum_klexikon_spider;zum_klexikon_spider;whitelist
99874634-8060-4dd0-a018-5d62b0ff04d1;ZUM Unterrichten;https://unterrichten.zum.de;zum_spider;zum_spider;whitelist
d24713cf-ef78-41a7-90c6-03debff73955;ZUM-Apps;https://apps.zum.de/;wirlernenonline_spider;wirlernenonline_spider;whitelist
80bd5688-c7df-4eb2-9f3c-f259d595af26;ZUM-DWU;https://dwu-unterrichtsmaterialien.de/;zum_dwu_spider;zum_dwu_spider;whitelist
a528691f-10ca-4194-a2ed-c27e42659532;ZUM-Unterrichten | Fachportal Deutsch;https://unterrichten.zum.de/wiki/Deutsch;zum_spider;zum_spider;whitelist
37c824d4-bca0-467b-a194-63e8518d217c;ZUM-Unterrichten | ZUM.de;https://unterrichten.zum.de;wirlernenonline_spider;wirlernenonline_spider;whitelist
71642221-68e0-4d0d-91fe-0a352185f02f;ZUM: Mathe-Apps;http://www.zum.de/ma/fendt/mde/;zum_mathe_apps_spider;zum_mathe_apps_spider;whitelist
d89f3778-d758-4870-b8e6-c28e6742e1f9;ZUM: Physik-Apps;https://www.walter-fendt.de/html5/phde/;wirlernenonline_spider;wirlernenonline_spider;whitelist
5237b871-0f33-4a79-a693-d973ac29bf16;ZUM: Physik-Apps;https://www.walter-fendt.de/html5/phde/;zum_physik_apps_spider;zum_physik_apps_spider;whitelist
923b037e-ad7e-415b-afc5-2948ad4f4e7d;Zebis;https://www.zebis.ch/;zebis_spider;zebis_spider;whitelist
4859a3c1-0535-4834-a7a6-06142bfabc8c;Zeitgemäße Bildung | WirLernenOnline;https://wirlernenonline.de/portal/allgemein-zeitgemasse-methoden/;;;whitelist
693f1be0-f866-4129-9fc8-5a2b5c85637f;Zeitschrift | MedienPädagogik;https://www.medienpaed.com/index;;;whitelist
622fa36c-b81b-49e5-a770-25a1810f21b5;Zentralabitur Aufgaben Niedersachsen;https://za-aufgaben.nibis.de/;wirlernenonline_spider;wirlernenonline_spider;whitelist
